instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,holiday
97,01/05/11,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,0
98,01/05/11,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,0
99,01/05/11,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,0
100,01/05/11,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,0
101,01/05/11,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,0
102,01/05/11,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,0
103,01/05/11,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,0
104,01/05/11,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,0
105,01/05/11,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,0
106,01/05/11,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,0
107,01/05/11,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,0
108,01/05/11,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,0
109,01/05/11,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,0
110,01/05/11,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,0
111,01/05/11,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,0
112,01/05/11,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,0
113,01/05/11,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,0
114,01/05/11,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,0
115,01/05/11,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0,1,18,19,0
116,01/06/11,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0,0,11,11,0
117,01/06/11,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0,0,4,4,0
118,01/06/11,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0,0,2,2,0
119,01/06/11,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,0
120,01/06/11,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,0
121,01/06/11,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,0
122,01/06/11,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0,0,95,95,0
123,01/06/11,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0,3,216,219,0
124,01/06/11,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0,6,116,122,0
125,01/06/11,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0,3,42,45,0
126,01/06/11,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,0
127,01/06/11,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0,6,78,84,0
128,01/06/11,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,0
129,01/06/11,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,0
130,01/06/11,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0,8,54,62,0
131,01/06/11,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,0
132,01/06/11,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,0
133,01/06/11,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,0
134,01/06/11,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,0
135,01/06/11,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,0
136,01/06/11,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,0
137,01/06/11,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,0
138,01/06/11,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,0
139,01/07/11,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,0
140,01/07/11,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,0
141,01/07/11,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,0
142,01/07/11,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,0
143,01/07/11,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0,0,5,5,0
144,01/07/11,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0,8,26,34,0
145,01/07/11,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,0
146,01/07/11,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,0
147,01/07/11,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,0
148,01/07/11,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,0
149,01/07/11,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,0
150,01/07/11,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,0
151,01/07/11,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,0
152,01/07/11,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,0
153,01/07/11,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,0
154,01/07/11,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,0
155,01/07/11,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0,9,178,187,0
156,01/07/11,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,0
157,01/07/11,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,0
158,01/07/11,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,0
159,01/07/11,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,0
160,01/07/11,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,0
161,01/07/11,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,0
162,01/08/11,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,0
163,01/08/11,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,0
164,01/08/11,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0,3,13,16,0
165,01/08/11,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,0
166,01/08/11,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,0
167,01/08/11,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,0
168,01/08/11,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,0
169,01/08/11,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,0
170,01/08/11,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,0
171,01/08/11,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,0
172,01/08/11,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,0
173,01/08/11,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,0
174,01/08/11,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,0
175,01/08/11,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,0
176,01/08/11,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,0
177,01/08/11,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,0
178,01/08/11,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,0
179,01/08/11,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,0
180,01/08/11,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,0
181,01/08/11,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,0
182,01/08/11,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,0
183,01/08/11,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,0
184,01/08/11,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,0
185,01/08/11,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,0
186,01/09/11,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,0
187,01/09/11,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,0
188,01/09/11,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,0
189,01/09/11,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,0
190,01/09/11,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,0
191,01/09/11,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,0
192,01/09/11,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,0
193,01/09/11,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,0
194,01/09/11,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,0
195,01/09/11,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,0
196,01/09/11,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,0
197,01/09/11,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,0
198,01/09/11,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,0
199,01/09/11,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75,0
200,01/09/11,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72,0
201,01/09/11,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82,0
202,01/09/11,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92,0
203,01/09/11,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62,0
204,01/09/11,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48,0
205,01/09/11,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41,0
206,01/09/11,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38,0
207,01/09/11,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20,0
208,01/09/11,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15,0
209,01/09/11,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6,0
210,01/10/11,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5,0
211,01/10/11,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1,0
212,01/10/11,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3,0
213,01/10/11,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1,0
214,01/10/11,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3,0
215,01/10/11,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3,0
216,01/10/11,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31,0
217,01/10/11,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77,0
218,01/10/11,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188,0
219,01/10/11,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94,0
220,01/10/11,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31,0
221,01/10/11,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30,0
222,01/10/11,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52,0
223,01/10/11,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54,0
224,01/10/11,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47,0
225,01/10/11,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45,0
226,01/10/11,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74,0
227,01/10/11,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178,0
228,01/10/11,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155,0
229,01/10/11,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95,0
230,01/10/11,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74,0
231,01/10/11,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38,0
232,01/10/11,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24,0
233,01/10/11,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18,0
234,01/11/11,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12,0
235,01/11/11,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3,0
236,01/11/11,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,3,0
237,01/11/11,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6,0
238,01/11/11,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27,0
239,01/11/11,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0,2,97,99,0
240,01/11/11,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217,0
241,01/11/11,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,127,130,0
242,01/11/11,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54,0
243,01/11/11,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35,0
244,01/11/11,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,57,0
245,01/11/11,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6,46,52,0
246,01/11/11,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3,60,63,0
247,01/11/11,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,2,45,47,0
248,01/11/11,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,4,72,76,0
249,01/11/11,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,6,130,136,0
250,01/11/11,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94,95,0
251,01/11/11,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0,0,51,51,0
252,01/11/11,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,0,32,32,0
253,01/11/11,1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,0,20,20,0
254,01/11/11,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,1,28,29,0
255,01/11/11,1,0,1,23,0,2,1,3,0.16,0.197,0.93,0.0896,1,18,19,0
256,01/12/11,1,0,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,0,7,7,0
257,01/12/11,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,0,6,6,0
258,01/12/11,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,0,1,1,0
259,01/12/11,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,0,5,5,0
260,01/12/11,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,0,16,16,0
261,01/12/11,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,0,54,54,0
262,01/12/11,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,3,125,128,0
263,01/12/11,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,3,78,81,0
264,01/12/11,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,0,39,39,0
265,01/12/11,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,3,32,35,0
266,01/12/11,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,3,52,55,0
267,01/12/11,1,0,1,13,0,3,1,1,0.22,0.197,0.44,0.3582,0,49,49,0
268,01/12/11,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,0,44,44,0
269,01/12/11,1,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,1,48,49,0
270,01/12/11,1,0,1,16,0,3,1,1,0.22,0.197,0.44,0.3284,5,63,68,0
271,01/12/11,1,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,0,139,139,0
272,01/12/11,1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,2,135,137,0
273,01/12/11,1,0,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,1,82,83,0
274,01/12/11,1,0,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,2,54,56,0
275,01/12/11,1,0,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,0,57,57,0
276,01/12/11,1,0,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478,1,32,33,0
277,01/12/11,1,0,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179,1,19,20,0
278,01/13/11,1,0,1,0,0,4,1,1,0.14,0.1212,0.59,0.2836,1,6,7,0
279,01/13/11,1,0,1,1,0,4,1,1,0.14,0.1212,0.5,0.2836,0,2,2,0
280,01/13/11,1,0,1,2,0,4,1,1,0.14,0.1212,0.5,0.3582,0,2,2,0
